Last Price,Open Price,Max,Min,Size,Change Persent,Class
3597.2,3785.7,4070.5,3561.3,3.8,0.0497,XRP
3677.8,3597.3,3715.2,3473.2,3.5,0.0224,XRP
3570.9,3676.2,3699.1,3465.2,3.16,0.0291,XRP
3502.5,3570.9,3583.2,3368.2,3.68,0.0192,XRP
3661.4,3502.3,3721.1,3382.5,3.78,0.0454,XRP
3616.8,3661.0,3681.1,3580.2,3.65,0.0122,XRP
4120.4,3616.8,4152.6,3607.9,5.61,0.1392,XRP
3823.1,4120.5,4194.2,3701.9,12.42,0.0721,XRP
3944.3,3823.2,3964.0,3681.8,19.19,0.0317,XRP
4006.4,3944.4,4050.6,3817.1,19.44,0.0157,XRP
4002.5,4006.4,4064.0,3923.8,20.06,0.001,XRP
4111.8,4002.6,4138.1,3897.9,19.14,0.0273,XRP
5046.2,4111.8,5278.4,4076.8,36.99,0.2273,XRP
5051.8,5046.1,5404.1,4889.2,5.83,0.0011,XRP
5290.2,5052.0,5327.0,4964.2,4.9,0.0472,XRP
5265.9,5290.2,5594.4,5137.4,6.56,0.0046,XRP
5830.9,5265.7,5899.2,5188.9,5.56,0.1073,XRP
7190.3,5830.8,7373.8,5630.5,5.78,0.2331,XRP
7262.6,7190.0,8323.9,6802.6,9.03,0.0101,XRP
8027.4,7261.9,8253.4,7252.3,6.2,0.1053,XRP
8545.7,8029.6,9045.9,7866.5,20.69,0.0646,XRP
7901.4,8545.8,8807.7,7480.4,4.88,0.0754,XRP
8812.5,7901.6,8856.7,7516.9,4.24,0.1153,XRP
10721.7,8812.2,11160.5,8771.1,5.15,0.2166,XRP
11906.5,10721.5,13929.8,10493.5,7.21,0.1105,XRP
11268.0,11906.0,12179.3,9728.5,6.41,0.0536,XRP
11364.9,11267.9,13134.4,10839.4,5.64,0.0086,XRP
10826.7,11364.3,11448.7,9082.6,6.29,0.0474,XRP
9492.1,10827.0,10883.8,9389.1,4.02,0.1233,XRP
10815.7,9491.1,10893.6,9401.1,3.89,0.1394,XRP
11314.5,10816.1,12291.9,10568.8,4.55,0.0461,XRP
10218.1,11314.6,11728.4,9580.1,4.62,0.0969,XRP
10131.0,10219.3,10941.6,9777.0,3.57,0.0085,XRP
9594.4,10132.1,10568.2,9343.0,3.29,0.053,XRP
10461.1,9594.7,10896.2,9533.6,3.62,0.0903,XRP
